Suburbs,Average of Price,Average of Latitude,Average of Longitude
Kurunjang,403000,-37.66551571,144.5957414
Bacchus Marsh,412000,-37.66869,144.42379
Wallan,422750,-37.41341,144.981345
Melton,438843.75,-37.68367313,144.5793038
Melton South,447583.3333,-37.70396542,144.5731783
Melton West,469115.3846,-37.67429692,144.5551538
The Basin,477000,-37.85971,145.31036
Wyndham Vale,493666.6667,-37.88794667,144.6196042
Coolaroo,494666.6667,-37.66027167,144.9309617
Brookfield,497000,-37.694535,144.549825
