Suburbs,Average of Price,Average of Latitude,Average of Longitude,Region
Kurunjang,403000,-37.66551571,144.5957414,Melton City Council
Bacchus Marsh,412000,-37.66869,144.42379,Moorabool Shire Council
Wallan,422750,-37.41341,144.981345,Mitchell Shire Council
Melton,438843.75,-37.68367313,144.5793038,Melton City Council
Melton South,447583.3333,-37.70396542,144.5731783,Melton City Council
Melton West,469115.3846,-37.67429692,144.5551538,Melton City Council
The Basin,477000,-37.85971,145.31036,Knox City Council
Wyndham Vale,493666.6667,-37.88794667,144.6196042,Wyndham City Council
Coolaroo,494666.6667,-37.66027167,144.9309617,Hume City Council
Brookfield,497000,-37.694535,144.549825,Melton City Council
Kooyong,3080000,-37.84391,145.03376,Stonnington City Council
Middle Park,2665115.385,-37.85097,144.9627569,Port Phillip City Council
Canterbury,2467462.963,-37.82512963,145.0757478,Boroondara City Council
Deepdene,2380000,-37.812305,145.064,Boroondara City Council
Malvern,2272594.595,-37.86001946,145.0352989,Stonnington City Council
Brighton,2118946.75,-37.90850052,144.998483,Bayside City Council
Beaumaris,2007500,-37.981806,145.0375067,Bayside City Council
Balwyn,2004811.594,-37.80943623,145.0827319,Boroondara City Council
Balwyn North,1965493,-37.7927693,145.0866878,Boroondara City Council
